QB,Year,Round,Years Played,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
C.J. Stroud,2023,1,2,575,830,69.3,8123,9.8,11.2,85,12,182.4
Bryce Young,2023,1,2,624,949,65.8,8356,8.8,9.9,80,12,165
Anthony Richardson,2023,1,2,215,393,54.7,3105,7.9,7.4,24,15,133.6
Will Levis,2023,1,3,479,738,64.9,5876,8,7.7,46,25,145.6
Hendon Hooker,2023,2,4,632,944,66.9,8974,9.5,10.6,80,12,172.2
Aidan O'Connell,2023,3,4,826,1239,66.7,9219,7.4,7.4,65,30,141.6
Tanner McKee,2023,4,2,473,748,63.2,5336,7.1,7,28,15,131.5
